date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:46	1328/1328	---M--	200	added ('OK')	application/javascript	etag:%22d24ed3-530-57cf4e320df00%22	http://radixtouch.in/templates/admin/smart/source/assets/js/pages/map/vector-data.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/js/pages/map/vector-data.js	(from http://radixtouch.in/templates/admin/smart/source/light/vector_maps.html)
11:36:46	55439/55439	---M--	200	added ('OK')	application/javascript	etag:%22d25076-d88f-57cf4e3d7fa00%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/jqvmap/maps/jquery.vmap.germany.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/jqvmap/maps/jquery.vmap.germany.js	(from http://radixtouch.in/templates/admin/smart/source/light/vector_maps.html)
11:36:52	28807/28807	---M--	200	added ('OK')	image/jpeg	etag:%22d24e7d-7087-57cf4e39af100%22	http://radixtouch.in/templates/admin/smart/source/assets/img/prof/prof6.jpg	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/img/prof/prof6.jpg	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:36:54	44274/44274	---M--	200	added ('OK')	image/jpeg	etag:%22d24ea8-acf2-57cf4e33f6380%22	http://radixtouch.in/templates/admin/smart/source/assets/img/std/std5.jpg	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/img/std/std5.jpg	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:36:57	14920/14920	---M--	200	added ('OK')	application/javascript	etag:%22d24f28-3a48-57cf4e37c6c80%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-switch/js/bootstrap-switch.min.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-switch/js/bootstrap-switch.min.js	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:36:58	37772/37772	---M--	200	added ('OK')	image/jpeg	etag:%22d24e80-938c-57cf4e3b97580%22	http://radixtouch.in/templates/admin/smart/source/assets/img/prof/prof9.jpg	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/img/prof/prof9.jpg	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:37:03	24051/24051	---M--	200	added ('OK')	application/javascript	etag:%22d24eb2-5df3-596a7a7e41200%22	http://radixtouch.in/templates/admin/smart/source/assets/js/layout.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/js/layout.js	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:37:08	30064/30064	---M--	200	added ('OK')	font/woff2	etag:%22d24c0c-7570-57cf4e2a6cd00%22	http://radixtouch.in/templates/admin/smart/source/light/fonts/simple-line-icons/fonts/Simple-Line-Icons.woff2?v=2.4.0	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/light/fonts/simple-line-icons/fonts/Simple-Line-Iconsb26c.woff2	(from http://radixtouch.in/templates/admin/smart/source/light/fonts/simple-line-icons/simple-line-icons.min.css)
11:37:17	123445/123445	---M--	200	added ('OK')	application/javascript	etag:%22d250f6-1e235-57cf4e35de800%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/sparkline/jquery.sparkline.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/sparkline/jquery.sparkline.js	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:37:33	98024/98024	---M--	200	added ('OK')	font/woff	etag:%22d24bfb-17ee8-57cf4e3025a80%22	http://radixtouch.in/templates/admin/smart/source/light/fonts/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/light/fonts/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://radixtouch.in/templates/admin/smart/source/light/fonts/font-awesome/css/font-awesome.min.css)
11:37:36	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d24bf8-2876e-57cf4e37c6c80%22	http://radixtouch.in/templates/admin/smart/source/light/fonts/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/light/fonts/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://radixtouch.in/templates/admin/smart/source/light/fonts/font-awesome/css/font-awesome.min.css)
11:37:39	16574/16574	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d250fe-40be-57cf4e3025a80%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/summernote/font/summernote.eot?0d0d5fac99cc8774d89eb08b1a8323c4	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/summernote/font/summernote291f.eot	(from http://radixtouch.in/templates/admin/smart/source/assets/plugins/summernote/summernote.css)
11:37:41	44300/44300	---M--	200	added ('OK')	font/woff2	etag:%22d24c03-ad0c-57cf4e3f67e80%22	http://radixtouch.in/templates/admin/smart/source/light/fonts/material-design-icons/iconfont/MaterialIcons-Regular.woff2	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/light/fonts/material-design-icons/iconfont/MaterialIcons-Regular.woff2	(from http://radixtouch.in/templates/admin/smart/source/light/fonts/material-design-icons/material-icon.css)
11:37:42	1069/1069	---M--	200	added ('OK')	application/javascript	etag:%22d24f3c-42d-57cf4e3b97580%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/counterup/jquery.counterup.min.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/counterup/jquery.counterup.min.js	(from http://radixtouch.in/templates/admin/smart/source/light/dashboard2.html)
11:37:45	587974/587974	---M--	200	added ('OK')	application/javascript	etag:%22d24f7c-8f8c6-57cf4e2a6cd00%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/echarts/echarts.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/echarts/echarts.js	(from http://radixtouch.in/templates/admin/smart/source/light/charts_echarts.html)
11:37:46	4129/4129	---M--	200	added ('OK')	application/javascript	etag:%22d24eb8-1021-57cf4e2e3d600%22	http://radixtouch.in/templates/admin/smart/source/assets/js/pages/calendar/calendar.min.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/js/pages/calendar/calendar.min.js	(from http://radixtouch.in/templates/admin/smart/source/light/event.html)
11:37:47	1413/1413	---M--	200	added ('OK')	application/javascript	etag:%22d2508d-585-57cf4e2a6cd00%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/material-datetimepicker/datetimepicker.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/material-datetimepicker/datetimepicker.js	(from http://radixtouch.in/templates/admin/smart/source/light/add_professor.html)
